sort20220911	CollectionCode2018	CollectionCode2019	VeryOldCC	CollectionCodeOld	CollectionCode	etOHstorageLoc	TransferNotes	BiogeographicRegion	Country	Adm1	Adm2	Region	Locale	LocalityCode	LocalityCode2	LocalityNotes	DateCollectedStart	DateCollectedEnd	Time	Method	Lat	Lon	LatLonMaxError	Datum	Elevation	ElevationMaxError	Habitat	Microhabitat	Medium	CollectedBy	CollectionNotes	LocatedAt	OwnedBy	TaxonNotes
698	RPO#0625	RPO#0720		RPO#0609	RPO#0720	in box turtle		North America	USA	TX	Culberson	Guadalupe Mountains National Park	Pine Springs Campground				7/8/2015			hand	31.89571	-104.82694	3 m	WGS 84	1774		Chihuahuan desert scrub	ex Fallugia paradoxica	75% EtOH	RP Overson				
699	RPO#0626	RPO#0721		RPO#0610	RPO#0721	in box turtle		North America	USA	TX	Culberson	Guadalupe Mountains National Park	The Pinery Trail				7/8/2015			hand	31.89432	-104.8188	3 m	WGS 84	1738		Chihuahuan desert scrub	on ground	75% EtOH	RP Overson	came to head lamp			
700	RPO#0627	RPO#0722		RPO#0611	RPO#0722	in box turtle		North America	USA	TX	Culberson		Elcor-Toyah Road, 1.9 km E County Road 2185				7/9/2015			hand	31.35128	-104.4504	3 m	WGS 84	1367		Chihuahuan desert scrub	nest on ground	75% EtOH	RP Overson				
701	FLAG-2015-4	RPO#0723		FLAG-2015-4	RPO#0723			North America	USA	AZ	Coconino	Coconino National Forest	Arboretum at Flagstaff				7/10/2015			bee bowl	35.162	-111.731	300	WGS 84	2168		Petran Montane Conifer Forest		pinned	RP Overson	Hymenoptera			
702	FLAG-2015-5	RPO#0724		FLAG-2015-5	RPO#0724			North America	USA	AZ	Coconino	Coconino National Forest	Arboretum at Flagstaff				7/14/2015			bee bowl	35.162	-111.731	300	WGS 84	2168		Petran Montane Conifer Forest		pinned	RP Overson	Hymenoptera			
703	RPO#0628	RPO#0725		RPO#0612	RPO#0725	in box turtle		North America	USA	TX	Dickens		County Road 371 1 km S of US Route 82				7/14/2015			hand	33.60331	-100.56994	3 m	WGS 84	616		Semidesert grassland	on ground	75% EtOH	RP Overson	collected at night			
704	RPO#0629	RPO#0726		RPO#0613	RPO#0726	in box turtle		North America	USA	TX	Brewster	Big Bend National Park	Lost Mine Trail				7/18/2015			hand	29.27448	-103.28642	4 m	WGS 84	1791		Chihuahuan desert scrub	on ground	75% EtOH	RP Overson				
705	RPO#0630	RPO#0727		RPO#0614	RPO#0727	in box turtle		North America	USA	TX	Brewster	Big Bend National Park	Lost Mine Trail 4 km from trailhead				7/18/2015			hand	29.27441	-103.2864	4 m	WGS 84	1790		Chihuahuan desert scrub	nest on ground	75% EtOH	RP Overson				
706	RPO#0631	RPO#0728		RPO#0615	RPO#0728	in box turtle		North America	USA	TX	Brewster	Big Bend National Park	Banks of the Rio Grande				7/18/2015			hand	29.165	-103.61654	3 m	WGS 84	840		Chihuahuan desert scrub	on ground	75% EtOH	RP Overson				
707	RPO#0632	RPO#0729		RPO#0616	RPO#0729	in box turtle		North America	USA	TX	Brewster	Big Bend National Park	Banks of the Rio Grande				7/18/2015			hand	29.16443	-103.6179	3 m	WGS 84	839		Chihuahuan desert scrub	on ground	75% EtOH	RP Overson				
708	RPO#0633	RPO#0730		RPO#0617	RPO#0730	in box turtle		North America	USA	TX	Brewster	Big Bend National Park	Santa Elena Canyon trailhead				7/18/2015			hand	29.16726	-103.61045	3 m	WGS 84	688		Chihuahuan desert scrub	on ground	75% EtOH	RP Overson				
709	RPO#0634	RPO#0731		RPO#0618	RPO#0731	in box turtle		North America	USA	TX	Brewster	Big Bend National Park	Blue Creek Trail				7/18/2015			hand	29.21434	-103.36637	3 m	WGS 84	1301		Chihuahuan desert scrub	on ground	75% EtOH	RP Overson				
710	FLAG-2015-6	RPO#0732		FLAG-2015-6	RPO#0732			North America	USA	AZ	Coconino	Coconino National Forest	Arboretum at Flagstaff				7/20/2015			bee bowl	35.162	-111.731	300	WGS 84	2168		Petran Montane Conifer Forest		pinned	RP Overson	Hymenoptera			
711	RPO#0635	RPO#0733		RPO#0619	RPO#0733	in box turtle		North America	USA	TX	Brewster		45.2 km 6.16 degrees N Terlingua				7/21/2015			hand	29.72746	-103.56566	3 m	WGS 84	1165		Chihuahuan desert scrub	nest on ground	75% EtOH	RP Overson				
712	RPO#0636	RPO#0734		RPO#0620	RPO#0734	in box turtle		North America	USA	TX	Brewster		45.2 km 6.16 degrees N Terlingua				7/21/2015			hand	29.72826	-103.56535	3 m	WGS 84	1166		Chihuahuan desert scrub	nest on ground	75% EtOH	RP Overson				
713	RPO#0637	RPO#0735		RPO#0621	RPO#0735	in box turtle		North America	USA	TX	Brewster		45.2 km 6.16 degrees N Terlingua				7/21/2015			hand	29.72842	-103.56526	3 m	WGS 84	1166		Chihuahuan desert scrub	foraging on plants	75% EtOH	RP Overson				
714	RPO#0638	RPO#0736		RPO#0622	RPO#0736	in box turtle		North America	USA	TX	Brewster		45.2 km 6.16 degrees N Terlingua				7/21/2015			hand	29.72841	-103.56525	3 m	WGS 84	1166		Chihuahuan desert scrub	on ground	75% EtOH	RP Overson	collected in early morning			
715	RPO#0639	RPO#0737	580	RPO#0623	RPO#0737	in box turtle		North America	USA	TX	Brewster		45.2 km 6.16 degrees N Terlingua				7/21/2015			hand	29.72842	-103.56522	3 m	WGS 84	1166		Chihuahuan desert scrub	on ground	75% EtOH	RP Overson	large Mutilidae, black and pale orange			
716	RPO#0640	RPO#0738	581	RPO#0624	RPO#0738		not in box turtle	North America	USA	NM	Doña Ana	Organ Mountains National Park	Aguirre Spring Campground				7/25/2015			hand	32.37034	-106.55983	3 m	WGS 84	1739		Chihuahuan desert scrub	on ground	pinned	RP Overson	very large black and orange, on edge of gravel parking lot during mid day			
717	RPO#0641	RPO#0739		RPO#0625	RPO#0739		not in box turtle	North America	USA	NM	Doña Ana	Organ Mountains National Park	7.3 km 153.62 degrees SE Organ				7/25/2015			hand	32.36506	-106.5652	3 m	WGS 84	1922		Chihuahuan desert scrub	on ground	75% EtOH	RP Overson	collected in evening			
718	FLAG-2015-7	RPO#0740		FLAG-2015-7	RPO#0740			North America	USA	AZ	Coconino	Coconino National Forest	Arboretum at Flagstaff				7/26/2015			bee bowl	35.162	-111.731	300	WGS 84	2168		Petran Montane Conifer Forest		pinned	RP Overson	Hymenoptera			
719	RPO#0642	RPO#0741	582	RPO#0626	RPO#0741		not in box turtle	North America	USA	IL	Cook	Chicago	Paulina Street and Ridge Avenue				7/26/2015			hand	41.9896	-87.6712	12 m	WGS 84	183		Urban	in apartment stairwell	pinned	RP Overson				
720	RPO#0643	RPO#0742	583	RPO#0628	RPO#0742		not in box turtle	North America	USA	NY	Herkimer	Adirondack Park	8.1 km 5.06 degrees N Grant				8/26/2015			hand	43.39332	-75.0515	6 m	WGS 84	418		forest	on car	pinned	RP Overson				
721	RPO#0644	RPO#0743		RPO#0630	RPO#0743	in box turtle		North America	USA	MI	Berrien	Lake Michigan	Warren Dunes State Park				9/26/2015			hand	41.9173	-86.5826	10 m	WGS 84	197		mixed deciduous	ex Quercus bicolor	75% EtOH	RP Overson	inside swamp white oak leaf gall			
722	RPO#0645	RPO#0744	584	RPO#0631	RPO#0744		not in box turtle	North America	USA	MI	Berrien	Lake Michigan	Warren Dunes State Park				9/26/2015			hand	41.9173	-86.5826	10 m	WGS 84	196		mixed deciduous	under rotting log	pinned	RP Overson				
723	RPO#0646	RPO#0745	588	RPO#0632	RPO#0745	in box turtle		North America	USA	MI	Berrien	Lake Michigan	Warren Dunes State Park				9/28/2015			hand	41.9173	-86.5827	10 m	WGS 84	197		mixed conifer forest	ex Ptelea trifoliata	pinned + EtOH	RP Overson	many membracids and parasitoids walking on white secretions			
724	RPO#0646	RPO#0746	589	RPO#0632	RPO#0746		unneeded (accidentally duplicated)	North America	USA	MI	Berrien	Lake Michigan	Warren Dunes State Park				9/28/2015			hand	41.9173	-86.5827	10 m	WGS 84	197		mixed conifer forest	ex Ptelea trifoliata	pinned + EtOH	RP Overson	many membracids and parasitoids walking on white secretions			
725	RPO#0647	RPO#0747	585	RPO#0633	RPO#0747		not in box turtle	North America	USA	IL	Cook	Chicago	Paulina Street and Peterson Avenue				10/10/2015			hand	41.9897	-87.6713	29 m	WGS 84	183		Urban	on floor of house	pinned	RP Overson				
726	RPO#0648	RPO#0748		RPO#0634	RPO#0748	in box turtle		North America	USA	IL	Cook	Chicago	Thorndale Avenue and Clark Street				10/18/2015			hand	41.9885	-87.67033	3 m	WGS 84	182		Urban	ex Asclepias	75% EtOH	RP Overson				
727	RPO#0649	RPO#0749	590	RPO#0635	RPO#0749		not in box turtle	North America	USA	IN	Lake		Grand Kankakee Marsh County Park				10/25/2015			hand	41.219	-87.275	200 m	WGS 84	195		riparian woods	ex Solidago sp.	pinned	RP Overson	ex Solidago sp. flower			
728	RPO#0649	RPO#0750	591	RPO#0635	RPO#0750		not in box turtle	North America	USA	IN	Lake		Grand Kankakee Marsh County Park				10/25/2015			hand	41.219	-87.275	200 m	WGS 84	195		riparian woods	ex Solidago sp.	pinned	RP Overson	ex Solidago sp. flower			
729	RPO#0649	RPO#0751	592	RPO#0635	RPO#0751		not in box turtle	North America	USA	IN	Lake		Grand Kankakee Marsh County Park				10/25/2015			hand	41.219	-87.275	200 m	WGS 84	195		riparian woods	ex Solidago sp.	pinned	RP Overson	ex Solidago sp. flower			
730	RPO#0649	RPO#0752	593	RPO#0635	RPO#0752		not in box turtle	North America	USA	IN	Lake		Grand Kankakee Marsh County Park				10/25/2015			hand	41.219	-87.275	200 m	WGS 84	195		riparian woods	ex Solidago sp.	pinned	RP Overson	ex Solidago sp. flower			
731	RPO#0649	RPO#0753	594	RPO#0635	RPO#0753		not in box turtle	North America	USA	IN	Lake		Grand Kankakee Marsh County Park				10/25/2015			hand	41.219	-87.275	200 m	WGS 84	195		riparian woods	ex Solidago sp.	pinned	RP Overson	ex Solidago sp. flower			
732	RPO#0649	RPO#0754	595	RPO#0635	RPO#0754		not in box turtle	North America	USA	IN	Lake		Grand Kankakee Marsh County Park				10/25/2015			hand	41.219	-87.275	200 m	WGS 84	195		riparian woods	ex Solidago sp.	pinned	RP Overson	ex Solidago sp. flower			
733	RPO#0649	RPO#0755	596	RPO#0635	RPO#0755		not in box turtle	North America	USA	IN	Lake		Grand Kankakee Marsh County Park				10/25/2015			hand	41.219	-87.275	200 m	WGS 84	195		riparian woods	ex Solidago sp.	pinned	RP Overson	ex Solidago sp. flower			
734	RPO#0650	RPO#0756	586	RPO#0636	RPO#0756		not in box turtle	North America	USA	IN	Lake		Grand Kankakee Marsh County Park				10/25/2015			hand	41.219	-87.275	200 m	WGS 84	195		riparian woods	ex Erigeron sp.	pinned	RP Overson				
735	RPO#0651	RPO#0757	597	RPO#0637	RPO#0757		not in box turtle	North America	USA	IN	Lake		Grand Kankakee Marsh County Park				10/25/2015			hand	41.219	-87.275	200 m	WGS 84	195		riparian woodland	on guard rail	pinned	RP Overson				
736	RPO#0651	RPO#0758	598	RPO#0637	RPO#0758		not in box turtle	North America	USA	IN	Lake		Grand Kankakee Marsh County Park				10/25/2015			hand	41.219	-87.275	200 m	WGS 84	195		riparian woodland	on guard rail	pinned	RP Overson				
737	RPO#0652	RPO#0759	587	RPO#0638	RPO#0759		not in box turtle	North America	USA	IN	Lake		Grand Kankakee Marsh County Park				10/25/2015			hand	41.219	-87.275	200 m	WGS 84	195		riparian woodland	ex Oenothera biennis	pinned	RP Overson				
738	RPO#0653	RPO#0760	599	RPO#0639	RPO#0760		not in box turtle	North America	USA	IN	Lake		Grand Kankakee Marsh County Park				10/25/2015			hand	41.219	-87.275	200 m	WGS 84	195		riparian woodland	nest under bridge	pinned	RP Overson				
739	RPO#0653	RPO#0761	600	RPO#0639	RPO#0761		not in box turtle	North America	USA	IN	Lake		Grand Kankakee Marsh County Park				10/25/2015			hand	41.219	-87.275	200 m	WGS 84	195		riparian woodland	nest under bridge	pinned	RP Overson				
740	RPO#0653	RPO#0762	601	RPO#0639	RPO#0762		not in box turtle	North America	USA	IN	Lake		Grand Kankakee Marsh County Park				10/25/2015			hand	41.219	-87.275	200 m	WGS 84	195		riparian woodland	nest under bridge	pinned	RP Overson				
741	RPO#0654	RPO#0763		RPO#0640	RPO#0763	in box turtle		North America	USA	IL	Cook	Chicago	Peterson Avenue and Paulina Street				11/1/2015			hand	41.9897	-87.6714	66 m	WGS 84	183		urban		75% EtOH	RP Overson				
742	RPO#0655	RPO#0764	613	RPO#0642	RPO#0764		not in box turtle	North America	USA	IL	Cook	Chicago	Clark Street and West Edgewater Avenue				4/20/2016			hand	41.98741	-87.6693	3 m	WGS 84	183		urban	ex flower	pinned	RP Overson	visiting flowers at flower shop			
743	RPO#0656	RPO#0765	618	RPO#0643	RPO#0765			North America	USA	IL	Cook	Chicago	Ravenswood Avenue and W Rosehill Drive				5/21/2016			hand	41.98699	-87.67465	9 m	WGS 84	185		urban	ex flower	pinned	RP Overson				
744	RPO#0656	RPO#0766	619	RPO#0643	RPO#0766		could collapse to 618 (same info)	North America	USA	IL	Cook	Chicago	Ravenswood Avenue and W Rosehill Drive				5/21/2016			hand	41.98699	-87.67465	9 m	WGS 84	185		urban	ex flower	pinned	RP Overson				
745	RPO#0656	RPO#0767	620	RPO#0643	RPO#0767		could collapse to 618 (same info)	North America	USA	IL	Cook	Chicago	Ravenswood Avenue and W Rosehill Drive				5/21/2016			hand	41.98699	-87.67465	9 m	WGS 84	185		urban	ex flower	pinned	RP Overson				
746	RPO#0656	RPO#0768	621	RPO#0643	RPO#0768		could collapse to 618 (same info)	North America	USA	IL	Cook	Chicago	Ravenswood Avenue and W Rosehill Drive				5/21/2016			hand	41.98699	-87.67465	9 m	WGS 84	185		urban	ex flower	pinned	RP Overson				
747	RPO#0656	RPO#0769	622	RPO#0643	RPO#0769		could collapse to 618 (same info)	North America	USA	IL	Cook	Chicago	Ravenswood Avenue and W Rosehill Drive				5/21/2016			hand	41.98699	-87.67465	9 m	WGS 84	183		urban	ex flower	pinned	RP Overson				
748	RPO#0657	RPO#0770	614	RPO#0644	RPO#0770		could collapse to 618 (same info)	North America	USA	IL	Cook	Chicago	Ravenswood Avenue and W Rosehill Drive				5/21/2016			hand	41.98675	-87.67479	3 m	WGS 84	185		urban	ex Syringa sp.	pinned	RP Overson				
749	RPO#0658	RPO#0771	771	RPO#0645	RPO#0771	in box turtle	don't collapse ants nests	North America	USA	IL	Cook	Chicago	Ravenswood Avenue and W Rosehill Drive				5/21/2016			hand	41.98675	-87.67479	3 m	WGS 84	184		urban	nest on ground	75% EtOH	RP Overson				
750	RPO#0659	RPO#0772	772	RPO#0646	RPO#0772	in box turtle	don't collapse ants nests	North America	USA	IL	Cook	Chicago	Ravenswood Avenue and W Rosehill Drive				5/21/2016			hand	41.98674	-87.67478	3 m	WGS 84	183		urban	nest on ground	75% EtOH	RP Overson				
751	RPO#0660	RPO#0773	615	RPO#0647	RPO#0773			North America	USA	IL	Cook	Chicago	West Ridge Nature Preserve				5/21/2016			hand	41.98734	-87.68735	3 m	WGS 84	183		urban	ex plant	pinned	RP Overson				
752	RPO#0661	RPO#0774	773	RPO#0648	RPO#0774	in box turtle	don't collapse ants nests	North America	USA	IL	Cook	Chicago	West Ridge Nature Preserve				5/21/2016			hand	41.9873	-87.6879	20 m	WGS 84	182		urban	nest under rock	75% EtOH	RP Overson				
753	RPO#0662	RPO#0775	774	RPO#0649	RPO#0775	in box turtle	don't collapse ants nests	North America	USA	IL	Cook	Chicago	West Ridge Nature Preserve				5/21/2016			hand	41.98599	-87.68719	5 m	WGS 84	182		urban	nest under rock	75% EtOH	RP Overson				
754	RPO#0663	RPO#0776	775	RPO#0650	RPO#0776	in box turtle	don't collapse ants nests	North America	USA	IL	Cook	Chicago	West Ridge Nature Preserve				5/21/2016			hand	41.986	-87.6872	11 m	WGS 84	182		urban	nest under rock	75% EtOH	RP Overson				
755	RPO#0664	RPO#0777	616	RPO#0651	RPO#0777			North America	USA	IL	Cook	Chicago	Paulina Street and Peterson Avenue				5/28/2016			hand	41.9895	-87.6713	10 m	WGS 84	183		urban	in apartment	pinned	RP Overson				
756	RPO#0665	RPO#0778	617	RPO#0652	RPO#0778		could collapse to 616 (same info)	North America	USA	IL	Cook	Chicago	Paulina Street and Peterson Avenue				6/10/2016			hand	41.9897	-87.6713	12 m	WGS 84	183		urban	in apartment	pinned	RP Overson				
757	RPO#0666	RPO#0779	623	RPO#0653	RPO#0779			North America	USA	IL	Cook	Chicago	Paulina Street and Peterson Avenue				6/17/2016			hand	41.9896	-87.6713	11 m	WGS 84	183		urban	in apartment	pinned	RP Overson				
758	RPO#0666	RPO#0780	624	RPO#0653	RPO#0780		could collapse to 623 (same info)	North America	USA	IL	Cook	Chicago	Paulina Street and Peterson Avenue				6/17/2016			hand	41.9896	-87.6713	11 m	WGS 84	183		urban	in apartment	pinned	RP Overson				
759	RPO#0667	RPO#0781	625	RPO#0654	RPO#0781	in box turtle		North America	USA	IL	Cook	Chicago	Ravenswood and Thorndale Avenue				6/17/2016			hand	41.9878	-87.6749	12 m	WGS 84	187		urban	ex Celtis laevigata	pinned	RP Overson				
760	RPO#0667	RPO#0782	626	RPO#0654	RPO#0782	in box turtle	could collapse to 625 (same info)	North America	USA	IL	Cook	Chicago	Ravenswood and Thorndale Avenue				6/17/2016			hand	41.9878	-87.6749	12 m	WGS 84	187		urban	ex Celtis laevigata	pinned	RP Overson				
761	RPO#0667	RPO#0783	627	RPO#0654	RPO#0783	in box turtle	could collapse to 625 (same info)	North America	USA	IL	Cook	Chicago	Ravenswood and Thorndale Avenue				6/17/2016			hand	41.9878	-87.6749	12 m	WGS 84	187		urban	ex Celtis laevigata	pinned	RP Overson				
762	RPO#0667	RPO#0784	628	RPO#0654	RPO#0784	in box turtle	could collapse to 625 (same info)	North America	USA	IL	Cook	Chicago	Ravenswood and Thorndale Avenue				6/17/2016			hand	41.9878	-87.6749	12 m	WGS 84	187		urban	ex Celtis laevigata	pinned	RP Overson				
763	RPO#0668	RPO#0785	629	RPO#0655	RPO#0785			North America	USA	IL	Cook	Chicago	Paulina Street and Thorndale Avenue				6/17/2016			hand	41.988	-87.672	100 m	WGS 84	183		urban	ex Hydrangea quercifolia	pinned	RP Overson				
764	RPO#0668	RPO#0786	630	RPO#0655	RPO#0786		could collapse to 629 (same info)	North America	USA	IL	Cook	Chicago	Paulina Street and Thorndale Avenue				6/17/2016			hand	41.988	-87.672	100 m	WGS 84	183		urban	ex Hydrangea quercifolia	pinned	RP Overson				
765	RPO#0669	RPO#0787	637	RPO#0656	RPO#0787			North America	USA	Wa	Island	Whidbey Island	Deception Pass State Park				6/23/2016			hand	48.40126	-122.66381	3 m	WGS 84	10		mixed conifer woodlan	ex rose plant	pinned	RP Overson				
766	RPO#0669	RPO#0788	638	RPO#0656	RPO#0788		could collapse to 637 (same info)	North America	USA	Wa	Island	Whidbey Island	Deception Pass State Park				6/23/2016			hand	48.40126	-122.66381	3 m	WGS 84	10		mixed conifer woodlan	ex rose plant	pinned	RP Overson				
767	RPO#0669	RPO#0789	639	RPO#0656	RPO#0789		could collapse to 637 (same info)	North America	USA	Wa	Island	Whidbey Island	Deception Pass State Park				6/23/2016			hand	48.40126	-122.66381	3 m	WGS 84	10		mixed conifer woodlan	ex rose plant	pinned	RP Overson				
768	RPO#0670	RPO#0790	776	RPO#0657	RPO#0790			North America	USA	WA	Snohomish	Big Four Mountain	Ice Caves Trail Head				6/24/2016			hand	48.0664	-121.5106	21 m	WGS 84	615		conifer woodland	ex Digitalis sp.	pinned	RP Overson				
769	RPO#0671	RPO#0791	640	RPO#0658	RPO#0791			North America	USA	WA	Snohomish		Spencer Island Park				6/25/2016			hand	47.99149	-122.15902	3 m	WGS 84	2		wetland	ex Asteraceae and Rubus	pinned	RP Overson				
770	RPO#0671	RPO#0792	641	RPO#0658	RPO#0792		could collapse to 640 (same info)	North America	USA	WA	Snohomish		Spencer Island Park				6/25/2016			hand	47.99149	-122.15902	3 m	WGS 84	2		wetland	ex Asteraceae and Rubus	pinned	RP Overson				
771	RPO#0671	RPO#0793	642	RPO#0658	RPO#0793		could collapse to 640 (same info)	North America	USA	WA	Snohomish		Spencer Island Park				6/25/2016			hand	47.99149	-122.15902	3 m	WGS 84	2		wetland	ex Asteraceae and Rubus	pinned	RP Overson				
772	RPO#0671	RPO#0794	643	RPO#0658	RPO#0794		could collapse to 640 (same info)	North America	USA	WA	Snohomish		Spencer Island Park				6/25/2016			hand	47.99149	-122.15902	3 m	WGS 84	2		wetland	ex Asteraceae and Rubus	pinned	RP Overson				
773	RPO#0671	RPO#0795	644	RPO#0658	RPO#0795		could collapse to 640 (same info)	North America	USA	WA	Snohomish		Spencer Island Park				6/25/2016			hand	47.99149	-122.15902	3 m	WGS 84	2		wetland	ex Asteraceae and Rubus	pinned	RP Overson				
774	RPO#0672	RPO#0796	770	RPO#0659	RPO#0796	in box turtle		North America	USA	WA	Snohomish		Spencer Island Park				6/25/2016			hand	47.99166	-122.16075	5 m	WGS 84	1		wetland	nest on ground	75% EtOH	RP Overson	thatch nest			
775	RPO#0673	RPO#0797	631	RPO#0660	RPO#0797			North America	USA	WA	Snohomish		Spencer Island Park				6/25/2016			hand	47.99157	-122.16078	3 m	WGS 84	2		wetland	on ground	pinned	RP Overson				
776	RPO#0674	RPO#0798	778	RPO#0661	RPO#0798	in box turtle		North America	USA	WA	Snohomish		Spencer Island Park				6/25/2016			hand	47.99149	-122.15902	3 m	WGS 84	1		wetland	nest under log	75% EtOH	RP Overson				
777	RPO#0675	RPO#0799	779	RPO#0662	RPO#0799	in box turtle		North America	USA	WA	Whatcom	Slide Mountain	Racehorse Creek Area				6/25/2016			hand	48.8709	-122.1193	13 m	WGS 84	487		deciduous woodland	ex rotting log	75% EtOH	RP Overson				
778	RPO#0676	RPO#0800	632	RPO#0663	RPO#0800			North America	USA	WA	Whatcom	Slide Mountain	Racehorse Creek Area				6/25/2016			hand	48.8709	-122.1193	20 m	WGS 84	516		deciduous woodland	ex rotting log	pinned	RP Overson				
779	RPO#0677	RPO#0801	633	RPO#0664	RPO#0801			North America	USA	WA	Whatcom	Slide Mountain	Racehorse Creek Area				6/25/2016			hand	48.872	-122.124	250 m	WGS 84	428		deciduous woodland	on ground	pinned	RP Overson				
780	RPO#0678	RPO#0802	645	RPO#0665	RPO#0802			North America	USA	WA	Mason	Hoodsport	N Janet Lane				6/26/2016			hand	47.43079	-123.12642	3 m	WGS 84	6		suburban	ex Stachys byzantia	pinned	RP Overson	bees were copulating on flowers			
781	RPO#0678	RPO#0803	646	RPO#0665	RPO#0803		could collapse to 645 (same info)	North America	USA	WA	Mason	Hoodsport	N Janet Lane				6/26/2016			hand	47.43079	-123.12642	3 m	WGS 84	6		suburban	ex Stachys byzantia	pinned	RP Overson	bees were copulating on flowers			
782	RPO#0678	RPO#0804	647	RPO#0665	RPO#0804		could collapse to 645 (same info)	North America	USA	WA	Mason	Hoodsport	N Janet Lane				6/26/2016			hand	47.43079	-123.12642	3 m	WGS 84	6		suburban	ex Stachys byzantia	pinned	RP Overson	bees were copulating on flowers			
783	RPO#0678	RPO#0805	648	RPO#0665	RPO#0805		could collapse to 645 (same info)	North America	USA	WA	Mason	Hoodsport	N Janet Lane				6/26/2016			hand	47.43079	-123.12642	3 m	WGS 84	6		suburban	ex Stachys byzantia	pinned	RP Overson	bees were copulating on flowers			
784	RPO#0678	RPO#0806	649	RPO#0665	RPO#0806		could collapse to 645 (same info)	North America	USA	WA	Mason	Hoodsport	N Janet Lane				6/26/2016			hand	47.43079	-123.12642	3 m	WGS 84	6		suburban	ex Stachys byzantia	pinned	RP Overson	bees were copulating on flowers			
785	RPO#0679	RPO#0807	650	RPO#0666	RPO#0807			North America	USA	WA	Mason	Hoodsport	N Janet Lane				6/26/2016			hand	47.43079	-123.12642	3 m	WGS 84	6		suburban	nest in wood post	pinned	RP Overson	bees were copulating on flowers			
786	RPO#0679	RPO#0808	651	RPO#0666	RPO#0808		could collapse to 650 (same info)	North America	USA	WA	Mason	Hoodsport	N Janet Lane				6/26/2016			hand	47.43079	-123.12642	3 m	WGS 84	6		suburban	nest in wood post	pinned	RP Overson	both bees from sane nest hole			
787	RPO#0680	RPO#0809	652	RPO#0667	RPO#0809			North America	USA	WA	Mason	Hoodsport	N Janet Lane				6/26/2016			hand	47.43079	-123.12642	3 m	WGS 84	6		suburban	ex wood post	pinned	RP Overson	searching on wood post			
788	RPO#0680	RPO#0810	653	RPO#0667	RPO#0810			North America	USA	WA	Mason	Hoodsport	N Janet Lane				6/26/2016			hand	47.43079	-123.12642	3 m	WGS 84	6		suburban	ex wood post	pinned	RP Overson	searching on wood post			
789	RPO#0681	RPO#0811		RPO#0670	RPO#0811	in box turtle		North America	USA	WA	Snohomish	Mount Pilchuck	Lake Twenty-Two				6/27/2016			hand	48.065	-121.7615	10 m	WGS 84	756		wet lakeside meadow	ex Chamerion epilobium gall	75% EtOH	RP Overson	large golf ball sized gall in Chamerion angustifolium stem			
790	RPO#0682	RPO#0812	780	RPO#0668	RPO#0812	in box turtle		North America	USA	WA	Snohomish	Mount Pilchuck	Lake Twenty-Two Trail				6/28/2016			hand	48.075	-121.764	100 m	WGS 84	650		mixed woodland	on ground	75% EtOH	RP Overson	carrying behavior occurring			
791	RPO#0683	RPO#0813	634	RPO#0669	RPO#0813			North America	USA	WA	Snohomish	Mount Pilchuck	Lake Twenty-Two Trail				6/28/2016			hand	48.075	-121.764	100 m	WGS 84	614		mixed woodland	ex plant	pinned	RP Overson				
792	RPO#0684	RPO#0814	654	RPO#0671	RPO#0814			North America	USA	WA	Snohomish	Mount Pilchuck	Lake Twenty-Two				6/28/2016			hand	48.0618	-121.765	60 m	WGS 84	739		wet lakeside meadow	ex plant	pinned	RP Overson				
793	RPO#0684	RPO#0815	655	RPO#0671	RPO#0815			North America	USA	WA	Snohomish	Mount Pilchuck	Lake Twenty-Two				6/28/2016			hand	48.0618	-121.765	60 m	WGS 84	739		wet lakeside meadow	ex plant	pinned	RP Overson				
794	RPO#0684	RPO#0816	656	RPO#0671	RPO#0816			North America	USA	WA	Snohomish	Mount Pilchuck	Lake Twenty-Two				6/28/2016			hand	48.0618	-121.765	60 m	WGS 84	739		wet lakeside meadow	ex plant	pinned	RP Overson				
795	RPO#0684	RPO#0817	657	RPO#0671	RPO#0817			North America	USA	WA	Snohomish	Mount Pilchuck	Lake Twenty-Two				6/28/2016			hand	48.0618	-121.765	60 m	WGS 84	739		wet lakeside meadow	ex plant	pinned	RP Overson				
796	RPO#0684	RPO#0818	658	RPO#0671	RPO#0818			North America	USA	WA	Snohomish	Mount Pilchuck	Lake Twenty-Two				6/28/2016			hand	48.0618	-121.765	60 m	WGS 84	739		wet lakeside meadow	ex plant	pinned	RP Overson				
797	RPO#0684	RPO#0819	659	RPO#0671	RPO#0819			North America	USA	WA	Snohomish	Mount Pilchuck	Lake Twenty-Two				6/28/2016			hand	48.0618	-121.765	60 m	WGS 84	739		wet lakeside meadow	ex plant	pinned	RP Overson				
798	RPO#0684	RPO#0820	660	RPO#0671	RPO#0820			North America	USA	WA	Snohomish	Mount Pilchuck	Lake Twenty-Two				6/28/2016			hand	48.0618	-121.765	60 m	WGS 84	739		wet lakeside meadow	ex plant	pinned	RP Overson				
799	RPO#0685	RPO#0821	635	RPO#0672	RPO#0821			North America	USA	TX	Travis	Lake Travis	Thurman Road				6/30/2016			hand	30.412	-97.981	500 m	WGS 84	247		oak juniper scrub	ex nest	pinned	RP Overson				
